<Category> RusForma Vehicles military
     	artillery_tractor,						VNK,		100000,	50000
		artillery_tractor_camo,					VNK,		100000,	50000
		artillery_tractor_kung,					VNK,		100000,	50000
		artillery_tractor_kung_camo,			VNK,		100000,	50000
		MTLB_RF,								VNK,		100000,	50000
		MTLB_RF_camo,							VNK,		100000,	50000
		MTLB_RF_camo2,							VNK,		100000,	50000
		BTR_80,									VNK,		200000,	120000
		BTR_80_camo,							VNK,		200000,	120000
		BTR_80_camo2,							VNK,		200000,	120000
		BTR_80_rust,							VNK,		200000,	120000
		BTR_80_P,								VNK,		200000,	120000
		BTR_80_P_rust,							VNK,		200000,	120000
		BTR_80_P_camo,							VNK,		200000,	120000
		BTR_80_P_camo2,							VNK,		200000,	120000
		BRDM2_RF,								VNK,		50000,	25000
		BRDM2_RF_camo,							VNK,		50000,	25000
		BRDM2_RF_winter,						VNK,		50000,	25000
		GAZ_233002_Tiger,						VNK,		30000,	25000
		GAZ_233002_Tiger_camo,					VNK,		30000,	25000
		VBL,									VNK,		50000,	30000		

<Category> RusForma Vehicles Trucks
		GAZ_33081,							VNK,		120000,	70000
		GAZ_33081_camo,						VNK,		120000,	70000
		URAL_375_1964,						VNK,		120000,	70000
		GAZ_66,								VNK,		120000,	70000
		kraz_255B,							VNK,		120000,	70000
		kraz_255B_yellow,					VNK,		120000,	70000
		kraz_255B_blue,						VNK,		120000,	70000
		kraz_255B_kung,						VNK,		120000,	70000
		kraz_255B_kung_yellow,				VNK,		120000,	70000
		kraz_255B_kung_blue,				VNK,		120000,	70000

<Category> RusForma Vehicles Cars
		AZLK_2141RF,					VNK,		25000,	10000
		AZLK_2141RF_red,				VNK,		25000,	10000
		AZLK_2141RF_beige,				VNK,		25000,	10000
		AZLK_2141RF_Lettuce,			VNK,		25000,	10000
		GAZ_69_rus,						VNK,		45000,	25000
		GAZ_69_rus_green,				VNK,		45000,	25000
		GAZ_69_rus_yellow,				VNK,		45000,	25000
		dodge_power_wagonrus,			VNK,		50000,	25000
		dodge_power_wagonrus_yellow,	VNK,		50000,	25000
		dodge_power_wagonrus_white,		VNK,		50000,	25000
		dodge_power_wagonrus_black,		VNK,		50000,	25000
		dodge_power_wagonrus_red,		VNK,		50000,	25000
		F1_Pickup,						VNK,		45000,	25000
		F1_Pickup_green,				VNK,		45000,	25000
		azlk_400,						VNK,		25000,	10000
		azlk_400_beige,					VNK,		25000,	10000
		azlk_400_green,					VNK,		25000,	10000
		GAZ21_Volga,					VNK,		25000,	10000
		GAZ21_Volga_black,				VNK,		25000,	10000
		GAZ21_Volga_green,				VNK,		25000,	10000
		GAZ_12_white,					VNK,		25000,	10000
		GAZ_13_Chaika,					VNK,		25000,	10000
		GAZ_13_Chaika_black_rust,		VNK,		25000,	10000
		GAZ_13_Chaika_white,			VNK,		25000,	10000
		GAZ_13_Chaika_white_rust,		VNK,		25000,	10000
		GAZ_3110_volga,					VNK,		25000,	10000
		GAZ_3110_volga_taxi,			VNK,		25000,	10000
		GAZ_3110_volga_black,			VNK,		25000,	10000
		GAZ_3110_volga_white,			VNK,		25000,	10000
		GAZ_M20_white,					VNK,		25000,	10000
		GAZ_M20_green,					VNK,		25000,	10000
		GAZ_M20_black,					VNK,		25000,	10000
		GAZ_M20_red,					VNK,		25000,	10000
		GAZ_M20_blue,					VNK,		25000,	10000
		ij_2715_RF,						VNK,		25000,	10000
		ij_2715_RF_blue,				VNK,		25000,	10000
		ij_2715_RF_green,				VNK,		25000,	10000
		ij_2715_RF_red,					VNK,		25000,	10000
		Niva2329,						VNK,		45000,	25000
		Niva2329_camo,					VNK,		45000,	25000
		moskvich_407,					VNK,		25000,	10000
		moskvich_407_double_red,		VNK,		25000,	10000
		moskvich_407_double_blue,		VNK,		25000,	10000
		moskvich_407_grey,				VNK,		25000,	10000
		UAZ_3163,						VNK,		30000,	25000
		UAZ_3163_gamekeeper,			VNK,		30000,	25000
		UAZ_3163_white,					VNK,		30000,	25000
		UAZ_3163_green,					VNK,		30000,	25000
		UAZ_3163_blue,					VNK,		30000,	25000
		UAZ_3163_black,					VNK,		30000,	25000
		UAZ_3163_Red,					VNK,		30000,	25000
		UAZ_33094,						VNK,		50000,	25000
		UAZ_33094_gray,					VNK,		50000,	25000
		UAZ_Patrot_Pikap,				VNK,		30000,	25000
		UAZ_Patrot_Pikap_red,			VNK,		30000,	25000
		UAZ_Patrot_Pikap_blue,			VNK,		30000,	25000
		UAZ_Patrot_Pikap_green,			VNK,		30000,	25000
		UAZ_Patrot_Pikap_white,			VNK,		30000,	25000
